date,category,commodity,unit,gtqprice,usdprice
1999-06-15,cereals and tubers,Rice (medium quality),100 Pounds,185.0,25.3078
1999-06-15,cereals and tubers,Sorghum,100 Pounds,51.93,7.104
1999-06-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,48.33,6.6115
1999-06-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,55.33,7.5691
1999-06-15,pulses and nuts,Beans (black),100 Pounds,269.33,36.844
1999-06-15,pulses and nuts,Beans (red),100 Pounds,348.0,47.606
1999-06-15,pulses and nuts,Beans (white),100 Pounds,394.0,53.8988
1999-06-15,vegetables and fruits,Bananas (medium size),100 Pounds,67.33,9.2107
1999-06-15,vegetables and fruits,Cabbage,27 KG,12.67,1.7332
1999-06-15,vegetables and fruits,Carrots,13.92 KG,19.07,2.6088
1999-06-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,110.83,15.1614
1999-06-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,27.13,3.7114
1999-06-15,vegetables and fruits,Plantains (big size),29 KG,79.0,10.8071
1999-06-15,vegetables and fruits,Plantains (medium size),20.5 KG,65.67,8.9836
1999-07-15,cereals and tubers,Maize (white),100 Pounds,61.33,8.3442
1999-07-15,cereals and tubers,Maize (yellow),100 Pounds,74.58,10.1469
1999-07-15,cereals and tubers,Potatoes,100 Pounds,85.42,11.6218
1999-07-15,cereals and tubers,Rice (high quality),100 Pounds,206.25,28.0612
1999-07-15,cereals and tubers,Rice (medium quality),100 Pounds,188.33,25.6231
1999-07-15,cereals and tubers,Sorghum,100 Pounds,55.0,7.483
1999-07-15,miscellaneous food,Jalapeño pepper (big size),36 Pounds,45.83,6.2354
1999-07-15,miscellaneous food,"Lemons (Criollo, medium size)",17.5 KG,57.5,7.8231
1999-07-15,pulses and nuts,Beans (black),100 Pounds,262.92,35.7714
1999-07-15,pulses and nuts,Beans (red),100 Pounds,354.17,48.1864
1999-07-15,pulses and nuts,Beans (white),100 Pounds,410.0,55.7823
1999-07-15,vegetables and fruits,Bananas (medium size),100 Pounds,69.42,9.4449
1999-07-15,vegetables and fruits,Cabbage,27 KG,15.5,2.1088
1999-07-15,vegetables and fruits,Carrots,13.92 KG,18.0,2.449
1999-07-15,vegetables and fruits,"Lemons (Persa, medium size)",110 KG,105.83,14.3986
1999-07-15,vegetables and fruits,"Oranges (Valencia, medium size)",23.9 KG,27.58,3.7524
1999-07-15,vegetables and fruits,Plantains (big size),29 KG,87.5,11.9048
1999-07-15,vegetables and fruits,Plantains (medium size),20.5 KG,77.08,10.4871
1999-08-15,cereals and tubers,Maize (white),100 Pounds,60.75,7.9919
1999-08-15,cereals and tubers,Maize (yellow),100 Pounds,74.17,9.7574
