,mes,ADM2_PCODE,n_pixels,lon,lat,precipitacion,tmin,tmax,mes_anterior,anio_anterior,vim,pred
67041,3,1803,51.0,-89.363085,15.36358407,58.336597000000005,22.840060000000005,31.861135,0.8216,0.8048666666666667,0.8091666666666667,0.8058622834123658
67356,4,1803,51.0,-89.363085,15.36358407,19.513548,23.559807,35.46705,0.8091666666666667,0.8024333333333334,0.8043666666666667,0.7852658413510227
67671,5,1803,51.0,-89.363085,15.36358407,266.6273,22.968075,34.28179,0.8043666666666667,0.8104666666666667,0.8090333333333333,0.8084425677880125
67986,6,1803,51.0,-89.363085,15.36358407,296.38104,23.54782,35.31303,0.8090333333333333,0.8159333333333333,0.8174666666666667,0.8143379414812779
68301,7,1803,51.0,-89.363085,15.36358407,252.61769,23.44232,33.88456,0.8174666666666667,0.8184999999999999,0.8232,0.8211954088293532
68616,8,1803,51.0,-89.363085,15.36358407,322.58224,23.711184,34.460083,0.8232,0.8256666666666667,0.8297333333333333,0.832074766575316
68931,9,1803,51.0,-89.363085,15.36358407,313.1707,23.46781,33.49257,0.8297333333333333,0.8319666666666666,0.8349666666666667,0.8399128768485613
69246,10,1803,51.0,-89.363085,15.36358407,293.03058,23.042046,32.89567,0.8349666666666667,0.8375,0.8362666666666666,0.843868749170189
69561,11,1803,51.0,-89.363085,15.36358407,562.0361,21.280863,30.203371,0.8362666666666666,0.8388333333333332,0.8256,0.8708208013168302
69876,12,1803,51.0,-89.363085,15.36358407,71.6972,20.183516,29.606516,0.8256,0.8361999999999999,0.8212666666666667,0.8210738851008714
70191,1,1803,51.0,-89.363085,15.36358407,97.84434,20.661327,29.22671,0.8212666666666667,0.8315333333333333,0.8213333333333334,0.8185128156895558
70506,2,1803,51.0,-89.363085,15.36358407,15.815029,21.563002,30.98646,0.8213333333333334,0.8216,0.8128666666666667,0.8058012065683879
70821,3,1803,51.0,-89.363085,15.36358407,47.39115,22.52247,31.864508,0.8128666666666667,0.8091666666666667,0.8062,0.8003761545033029
71136,4,1803,51.0,-89.363085,15.36358407,63.816296,23.26486,33.43086,0.8062,0.8043666666666667,0.8051333333333334,0.7940643494721102
71451,5,1803,51.0,-89.363085,15.36358407,244.7626,23.787134,33.411972,0.8051333333333334,0.8090333333333333,0.8133,0.8126996571242913
71766,6,1803,51.0,-89.363085,15.36358407,426.61765,23.5155,33.10268,0.8133,0.8174666666666667,0.8234333333333334,0.8358366366791868
72081,7,1803,51.0,-89.363085,15.36358407,346.20636,22.827692,32.59869,0.8234333333333334,0.8232,0.8273999999999999,0.8361864741889115
72396,8,1803,51.0,-89.363085,15.36358407,412.02295,22.58027,32.46267,0.8273999999999999,0.8297333333333333,0.8285666666666667,0.8460675739212787
72711,9,1803,51.0,-89.363085,15.36358407,315.26636,22.958994,32.683205,0.8285666666666667,0.8349666666666667,0.8342666666666667,0.8413990124988885
73026,10,1803,51.0,-89.363085,15.36358407,283.2889,22.686611,33.15164,0.8342666666666667,0.8362666666666666,0.8408333333333333,0.8399880711132506
73341,11,1803,51.0,-89.363085,15.36358407,64.57253,20.987343,30.281603,0.8408333333333333,0.8256,0.8434333333333334,0.8255647455345434
73656,12,1803,51.0,-89.363085,15.36358407,130.04338,19.770824,31.124556,0.8434333333333334,0.8212666666666667,0.8433,0.8237888228806456
73971,1,1803,51.0,-89.363085,15.36358407,98.51842,18.937094,28.991465,0.8433,0.8213333333333334,0.8402333333333334,0.8215376796661872
